,Subject,AgeGroup,StudyNo,PrimeCondition,Accuracy,Question.RESP,Trials,Experiment,Count
49,21,Young,1,U,0,1,9,Young 48 ms,1
50,21,Young,1,U,1,1,10,Young 48 ms,1
51,22,Young,1,R,0,1,2,Young 48 ms,1
52,22,Young,1,R,1,1,8,Young 48 ms,1
53,22,Young,1,U,0,1,3,Young 48 ms,1
54,22,Young,1,U,1,1,3,Young 48 ms,1
55,23,Young,1,R,0,1,2,Young 48 ms,1
56,23,Young,1,R,1,1,13,Young 48 ms,1
57,23,Young,1,U,0,1,3,Young 48 ms,1
58,23,Young,1,U,1,1,6,Young 48 ms,1
59,24,Young,1,R,0,1,1,Young 48 ms,1
60,24,Young,1,U,1,1,2,Young 48 ms,1
61,25,Young,1,R,0,1,12,Young 48 ms,1
62,25,Young,1,R,1,1,6,Young 48 ms,1
63,25,Young,1,U,0,1,4,Young 48 ms,1
64,25,Young,1,U,1,1,9,Young 48 ms,1
65,26,Young,1,R,0,1,8,Young 48 ms,1
66,26,Young,1,R,1,1,3,Young 48 ms,1
67,26,Young,1,U,0,1,5,Young 48 ms,1
68,27,Young,1,R,0,1,9,Young 48 ms,1
69,27,Young,1,R,1,1,9,Young 48 ms,1
70,27,Young,1,U,0,1,5,Young 48 ms,1
71,27,Young,1,U,1,1,5,Young 48 ms,1
72,28,Young,1,R,0,1,4,Young 48 ms,1
73,28,Young,1,R,1,1,1,Young 48 ms,1
74,28,Young,1,U,0,1,4,Young 48 ms,1
75,29,Young,1,R,0,1,9,Young 48 ms,1
76,29,Young,1,R,1,1,5,Young 48 ms,1
77,29,Young,1,U,0,1,8,Young 48 ms,1
78,29,Young,1,U,1,1,10,Young 48 ms,1
79,30,Young,1,R,0,1,1,Young 48 ms,1
80,30,Young,1,R,1,1,1,Young 48 ms,1
81,30,Young,1,U,1,1,2,Young 48 ms,1
82,31,Young,1,R,0,1,2,Young 48 ms,1
83,31,Young,1,R,1,1,21,Young 48 ms,1
84,31,Young,1,U,0,1,3,Young 48 ms,1
85,31,Young,1,U,1,1,13,Young 48 ms,1
86,32,Young,1,R,0,1,7,Young 48 ms,1
87,32,Young,1,R,1,1,1,Young 48 ms,1
88,32,Young,1,U,0,1,2,Young 48 ms,1
89,32,Young,1,U,1,1,4,Young 48 ms,1
90,33,Young,1,R,0,1,16,Young 48 ms,1
91,33,Young,1,R,1,1,1,Young 48 ms,1
92,33,Young,1,U,0,1,9,Young 48 ms,1
93,33,Young,1,U,1,1,10,Young 48 ms,1
94,34,Young,1,R,0,1,4,Young 48 ms,1
95,34,Young,1,R,1,1,8,Young 48 ms,1
96,34,Young,1,U,0,1,5,Young 48 ms,1
