AgeGroup,StudyNo,value.Target,value.TargetNo,value.WordType,value.Proper,value.totalitems,value.correctitems,value.wrongitems,value.targetacc,value.rtrials,value.ptrials,value.btrials,value.utrials,value.rcorrecttrials,value.pcorrecttrials,value.bcorrecttrials,value.ucorrecttrials,value.racc,value.pacc,value.bacc,value.uacc,value.rmcq,value.pmcq,value.bmcq,value.umcq,value.r_know,value.r_dontknow,value.r_other,value.r_TOT,value.p_know,value.p_dontknow,value.p_other,value.p_TOT,value.b_know,value.b_dontknow,value.b_other,value.b_TOT,value.u_know,value.u_dontknow,value.u_other,value.u_TOT,value.correctmcq,value.wrongmcq,value.wrong_r,value.wrong_p,value.wrong_b,value.wrong_u,value.wrong_r_r,value.wrong_r_p,value.wrong_r_b,value.wrong_r_u,value.wrong_r_x,value.wrong_p_r,value.wrong_p_p,value.wrong_p_b,value.wrong_p_u,value.wrong_p_x,value.wrong_b_r,value.wrong_b_p,value.wrong_b_b,value.wrong_b_u,value.wrong_b_x,value.wrong_u_r,value.wrong_u_p,value.wrong_u_b,value.wrong_u_u,value.wrong_u_x,visible,value.know,value.dontknow,value.other,value.TOT,know_r_percent,know_p_percent,know_b_percent,know_u_percent,dontknow_r_percent,dontknow_p_percent,dontknow_b_percent,dontknow_u_percent,other_r_percent,other_p_percent,other_b_percent,other_u_percent,TOT_r_percent,TOT_p_percent,TOT_b_percent,TOT_u_percent,r_know_new,r_dontknow_new,r_other_new,r_TOT_new,p_know_new,p_dontknow_new,p_other_new,p_TOT_new,b_know_new,b_dontknow_new,b_other_new,b_TOT_new,u_know_new,u_dontknow_new,u_other_new,u_TOT_new
Old,4,Carver,21,PN,ProperName,36,17,19,0.472222222,9,9,9,9,4,6,5,2,0.444444444,0.666666667,0.555555556,0.222222222,0.777777778,0.777777778,0.888888889,0.888888889,3,3,1,2,4,4,0,1,6,2,0,1,2,6,0,1,30,6,2,2,1,1,0.5,0,0.5,0,0,0.5,0,0,0,0.5,0,0,1,0,0,0,0,1,0,0,FALSE,15,15,1,5,0.2,0.266666667,0.4,0.133333333,0.2,0.266666667,0.133333333,0.4,1,0,0,0,0.4,0.2,0.2,0.2,0.333333333,0.333333333,0.111111111,0.222222222,0.444444444,0.444444444,0,0.111111111,0.666666667,0.222222222,0,0.111111111,0.222222222,0.666666667,0,0.111111111
Old,4,Casablanca,22,PN,ProperName,36,15,21,0.416666667,9,9,9,9,4,3,4,4,0.444444444,0.333333333,0.444444444,0.444444444,0.777777778,1,0.666666667,0.888888889,4,2,1,2,3,5,0,1,5,2,0,2,5,3,0,1,30,6,2,0,3,1,0,0,1,0,0,NA,NA,NA,NA,NA,0.333333333,0,0.666666667,0,0,1,0,0,0,0,FALSE,17,12,1,6,0.235294118,0.176470588,0.294117647,0.294117647,0.166666667,0.416666667,0.166666667,0.25,1,0,0,0,0.333333333,0.166666667,0.333333333,0.166666667,0.444444444,0.222222222,0.111111111,0.222222222,0.333333333,0.555555556,0,0.111111111,0.555555556,0.222222222,0,0.222222222,0.555555556,0.333333333,0,0.111111111
Old,4,chameleon,23,N,Word,36,21,15,0.583333333,9,9,9,9,4,6,5,6,0.444444444,0.666666667,0.555555556,0.666666667,0.777777778,1,0.666666667,0.888888889,7,1,1,0,7,1,0,1,7,2,0,0,6,1,1,1,30,6,2,0,3,1,1,0,0,0,0,NA,NA,NA,NA,NA,0,0,0.333333333,0,0.666666667,1,0,0,0,0,FALSE,27,5,2,2,0.259259259,0.259259259,0.259259259,0.222222222,0.2,0.2,0.4,0.2,0.5,0,0,0.5,0,0.5,0,0.5,0.777777778,0.111111111,0.111111111,0,0.777777778,0.111111111,0,0.111111111,0.777777778,0.222222222,0,0,0.666666667,0.111111111,0.111111111,0.111111111
Old,4,Clay,24,PN,ProperName,36,23,13,0.638888889,9,9,9,9,7,6,6,4,0.777777778,0.666666667,0.666666667,0.444444444,1,1,1,1,7,0,0,2,6,2,0,1,6,2,0,1,4,2,0,3,36,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,23,6,0,7,0.304347826,0.260869565,0.260869565,0.173913043,0,0.333333333,0.333333333,0.333333333,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.285714286,0.142857143,0.142857143,0.428571429,0.777777778,0,0,0.222222222,0.666666667,0.222222222,0,0.111111111,0.666666667,0.222222222,0,0.111111111,0.444444444,0.222222222,0,0.333333333
Old,4,Clemens,25,PN,ProperName,36,23,13,0.638888889,9,9,9,9,5,7,6,5,0.555555556,0.777777778,0.666666667,0.555555556,0.888888889,1,0.888888889,1,5,2,1,1,7,1,0,1,5,2,0,2,6,1,0,2,34,2,1,0,1,0,0,0,0,0,1,NA,NA,NA,NA,NA,1,0,0,0,0,NA,NA,NA,NA,NA,FALSE,23,6,1,6,0.217391304,0.304347826,0.217391304,0.260869565,0.333333333,0.166666667,0.333333333,0.166666667,1,0,0,0,0.166666667,0.166666667,0.333333333,0.333333333,0.555555556,0.222222222,0.111111111,0.111111111,0.777777778,0.111111111,0,0.111111111,0.555555556,0.222222222,0,0.222222222,0.666666667,0.111111111,0,0.222222222
Old,4,congruent,26,Adj,Word,36,2,34,0.055555556,9,9,9,9,0,2,0,0,0,0.222222222,0,0,0.444444444,0.666666667,0.444444444,0.444444444,4,3,1,1,3,5,0,1,2,5,0,2,3,5,1,0,18,18,5,3,5,5,0.6,0.2,0.2,0,0,0.666666667,0,0.333333333,0,0,0.4,0.2,0.4,0,0,0.4,0.2,0,0.2,0.2,FALSE,12,18,2,4,0.333333333,0.25,0.166666667,0.25,0.166666667,0.277777778,0.277777778,0.277777778,0.5,0,0,0.5,0.25,0.25,0.5,0,0.444444444,0.333333333,0.111111111,0.111111111,0.333333333,0.555555556,0,0.111111111,0.222222222,0.555555556,0,0.222222222,0.333333333,0.555555556,0.111111111,0
Old,4,covenant,27,N,Word,36,11,25,0.305555556,9,9,9,9,0,6,1,4,0,0.666666667,0.111111111,0.444444444,0.888888889,1,0.777777778,0.666666667,2,5,1,1,6,2,1,0,4,3,1,1,4,5,0,0,30,6,1,0,2,3,1,0,0,0,0,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0.666666667,0.333333333,0,FALSE,16,15,3,2,0.125,0.375,0.25,0.25,0.333333333,0.133333333,0.2,0.333333333,0.333333333,0.333333333,0.333333333,0,0.5,0,0.5,0,0.222222222,0.555555556,0.111111111,0.111111111,0.666666667,0.222222222,0.111111111,0,0.444444444,0.333333333,0.111111111,0.111111111,0.444444444,0.555555556,0,0
Old,4,Cummings,28,PN,ProperName,36,11,25,0.305555556,9,9,9,9,5,4,1,1,0.555555556,0.444444444,0.111111111,0.111111111,0.555555556,0.666666667,0.333333333,0.222222222,6,2,1,0,4,4,0,1,2,7,0,0,4,4,0,1,16,20,4,3,6,7,0.75,0,0,0,0.25,0.666666667,0.333333333,0,0,0,0.5,0,0.333333333,0,0.166666667,0.428571429,0,0.142857143,0.142857143,0.285714286,FALSE,16,17,1,2,0.375,0.25,0.125,0.25,0.117647059,0.235294118,0.411764706,0.235294118,1,0,0,0,0,0.5,0,0.5,0.666666667,0.222222222,0.111111111,0,0.444444444,0.444444444,0,0.111111111,0.222222222,0.777777778,0,0,0.444444444,0.444444444,0,0.111111111
Old,4,Dante,29,PN,ProperName,36,18,18,0.5,9,9,9,9,3,6,5,4,0.333333333,0.666666667,0.555555556,0.444444444,0.555555556,1,0.777777778,0.666666667,4,4,1,0,6,1,0,2,5,3,0,1,6,3,0,0,27,9,4,0,2,3,0.75,0,0,0,0.25,NA,NA,NA,NA,NA,0.5,0,0.5,0,0,0,0,0.333333333,0.333333333,0.333333333,FALSE,21,11,1,3,0.19047619,0.285714286,0.238095238,0.285714286,0.363636364,0.090909091,0.272727273,0.272727273,1,0,0,0,0,0.666666667,0.333333333,0,0.444444444,0.444444444,0.111111111,0,0.666666667,0.111111111,0,0.222222222,0.555555556,0.333333333,0,0.111111111,0.666666667,0.333333333,0,0
Old,4,Darfur,30,PN,ProperName,36,6,30,0.166666667,9,9,9,9,2,4,0,0,0.222222222,0.444444444,0,0,0.444444444,0.888888889,0.333333333,0.444444444,5,2,1,1,4,5,0,0,4,4,1,0,1,7,0,1,19,17,5,1,6,5,1,0,0,0,0,1,0,0,0,0,0.666666667,0,0.166666667,0,0.166666667,0.6,0,0.4,0,0,FALSE,14,18,2,2,0.357142857,0.285714286,0.285714286,0.071428571,0.111111111,0.277777778,0.222222222,0.388888889,0.5,0,0.5,0,0.5,0,0,0.5,0.555555556,0.222222222,0.111111111,0.111111111,0.444444444,0.555555556,0,0,0.444444444,0.444444444,0.111111111,0,0.111111111,0.777777778,0,0.111111111
